xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
105,Y,재공급,송파구,파인빌2,35A,,1,528,528.0,1순위,8,0.847511,0.88544,통과,통과,1순위,8,0.848562,0.885171,통과,통과,"서울특별시 송파구 백제고분로42길 18-9 (송파동 91-1, 파인빌2)"
106,Y,재공급,송파구,유케이타운,23B,,1,116,116.0,1순위,5,0.55748,0.591069,통과,미달,,,,,,,"서울특별시 송파구 삼전로10길 54 (삼전동 116-3, 유케이타운)"
107,Y,재공급,송파구,다온에코하임,34A,,1,148,148.0,1순위,11,0.95575,0.956923,통과,통과,1순위,5,0.55719,0.586446,통과,미달,"서울특별시 송파구 거마로9길 24-5 (거여동 135-54외, 다온에코하임)"
108,Y,재공급,송파구,네스트137,25B,,3,202,67.3,2순위,8,0.324613,0.720954,미달,미달,2순위,8,0.321652,0.716429,통과,통과,"서울특별시 송파구 백제고분로48길 41-15 (방이동 137-10, 네스트137)"
109,Y,재공급,송파구,꿈꾸지오,24A,,1,320,320.0,1순위,8,0.847565,0.885019,통과,통과,1순위,8,0.847167,0.885544,통과,통과,"서울특별시 송파구 송파대로47길 6 (석촌동 182-4, 꿈꾸지오)"
110,Y,재공급,송파구,드림네스트,27B,,1,119,119.0,1순위,8,0.848632,0.886,통과,통과,1순위,6,0.66048,0.723328,통과,통과,"서울특별시 송파구 가락로5길 3-75 (석촌동 237-16외, 드림네스트)"
111,Y,재공급,송파구,영스테이,31B,,3,608,202.7,1순위,5,0.557645,0.589248,통과,미달,1순위,5,0.558411,0.588615,통과,미달,"서울특별시 송파구 올림픽로12길 52-8 (잠실동 214-6, 영스테이)"
112,Y,재공급,송파구,영스테이,40A,,1,717,717.0,1순위,10,0.926972,0.935385,통과,통과,1순위,9,0.898094,0.912609,통과,통과,"서울특별시 송파구 올림픽로12길 52-8 (잠실동 214-6, 영스테이)"
113,Y,재공급,송파구,서도휴빌,26B,,4,466,116.5,1순위,5,0.556828,0.588834,통과,미달,2순위,8,0.224023,0.522735,통과,미달,"서울특별시 송파구 문정로5길 3-36 (문정동 13-7, 서도휴빌)"
114,Y,재공급,송파구,송파누리빌,36A,,1,284,284.0,1순위,8,0.846778,0.884601,통과,통과,1순위,8,0.848785,0.885441,통과,통과,"서울특별시 송파구 백제고분로46길 41-7 (송파동 145-5, 송파누리빌)"
